__label__1 , The European Union includes how many ?
__label__2 , Why is diwali bad for your earth ?
__label__1 , Year clovis is converted to christianaty ?
__label__1 , Why does cat have whiskers ?
__label__2 , What is the turning space required for a tractor trailer ?
__label__2 , Will WoW Gold Sites Work ?
__label__2 , What did the IRA in northern ireland want ?
__label__2 , What can be evenly dispersed ?
__label__1 , What is oprah winfrey booking agent name and contact information ?
__label__2 , What is coal used for in saskatchewan ?
__label__1 , Where is nearest thorpe park to stotfold ?
__label__1 , How many disc are in your spine ?
__label__1 , When munich ment agreement happened in ww2 ?
__label__1 , What is the most expencive pony in the world ?
__label__2 , What is the double bar line ?
__label__1 , How many types of christian churches ?
__label__1 , Who invented bluetooth technologyname of d guy ?
__label__2 , What is the theory of mercantalism ?
__label__1 , How would you prepare before tsunami ?
__label__1 , How do you say thank so much in Swedish ?
__label__2 , Who invented something in 1877 ?
__label__2 , What date was lady gaga borm on ?
__label__2 , What is the time differnce between toronto and vancouver ?
__label__1 , The record of paleomagnetism is preserved in ?
__label__1 , Market behavior factor ?
__label__1 , What is firing order foer Nissan pathfinder 1990 ?
__label__1 , Can exercise reduce risk of cancer ?
__label__1 , 25 centimeters is in how many inches ?
__label__2 , How did political rivalries lead to imperialism ?
__label__2 , What is the drink everclear ?
__label__2 , How do you wire a 240 volt 50 amp receptacle ?
__label__1 , Are northampton Academy strict ?
__label__2 , How do you calculate monthly interest on the average balance of my bank account ?
__label__2 , How is organic food grown ?
__label__1 , How many calories in a carbahydrate ?
__label__2 , How many songs has avil lavigne relesed ?
__label__2 , What influenced the Berlin airlift ?
__label__2 , What is the proper method to brew ice tea ?
__label__1 , What causes scalp ?
__label__2 , What are cat whiskers for ?
__label__1 , Who is the king of saudi arabia of 2010 ?
__label__2 , What are the different methods of processing ?
__label__2 , How can you get mewtwo in sapphire ?
__label__2 , Are there any stop leak products for a valve cover leak ?
__label__2 , Where can mountains be located ?
__label__1 , How can you get poison oaks ?
__label__1 , How many centimtres in a kilometre ?
__label__1 , Are ireland and italy the same plaCE ?
__label__1 , What is the scientific name fore spinach ?
__label__1 , What is the swine ?
__label__2 , What is head captain yamamoto 's bankai ?
__label__1 , How many grams of salt in one cup ?
__label__2 , Where do you get dragon ball af episodes ?
__label__2 , When did andy warhol paint marilyn ?
__label__2 , Are there hot topic stores in Australia ?
__label__1 , What religion startedduring the renaissance ?
__label__1 , What color is the cue in the pool ?
__label__1 , What is ideal temp fridge ?
__label__1 , What are examples of nonbiodegradable organics in POME ?
__label__2 , How many islam believers are there ?
__label__2 , What is michael phelps penis size ?
__label__2 , What are characteristics common to all arthropods ?
__label__1 , What is theologi ?
__label__1 , What is function capasitor ?
__label__1 , Role of open communication ?
__label__2 , What compounds contain fixed nitrogen ?
__label__2 , How high is a basketball net for children ?
__label__2 , How many atoms are there in 2 moles of carbon ?
__label__1 , Why was the federal trae commision established ?
__label__1 , Top ten songs in 1950 ?
__label__1 , Technology literary challenges ?
__label__2 , What is the name of the group of eubacteria that makes its own food ?
__label__2 , How many calories are in Clamatto beer ?
__label__1 , Types of natural fires are there ?
__label__1 , Meaning of pokemon ?
__label__2 , How can you catch shaymin in platiunm ?
__label__2 , Which 5 planets have dense atmospheres ?
__label__2 , How can you use the word epic in a sentence ?
__label__2 , What is one of the seven hills ?
__label__2 , Where was the first hydroelectric plant built ?
__label__1 , The Nineteenth Amendment to the Constitution was ratified in 1920 What did this allow ?
__label__2 , What is the role of marketing communication ?
__label__2 , How do you find vulpix in pokemon gold ?
__label__1 , How many books have corettta scott king writin ?
__label__2 , How much does a pediatric doctor make in a month ?
__label__2 , What breast size is kristen stewart ?
__label__2 , How much did gas cost in Greenville NC on September 19 1994 ?
__label__2 , How many moutains are in the andes mountains ?
__label__2 , How could a new species form ?
__label__1 , Treatment for epilepsy ?
__label__2 , How heavy should a volleyball be ?
__label__2 , Where is the fuel filter on a 2001 mustang gt ?
__label__1 , How did an ordeal work ?
__label__2 , What is the value of a new zealand 1962 half penny ?
__label__1 , Who do you know if your girl friend is cheating on you ?
__label__2 , How much does a leopard weigh as a baby ?
__label__1 , How much an immigration lawyer earn ?
__label__1 , A form of a database is what ?
__label__1 , When did sea turtle became endangered ?
__label__2 , What are the subgenres of drama and their definitions ?
__label__2 , How many letters are in the word letter ?
__label__2 , What is the supercomputer ?
__label__1 , Which country signed non-aggression pact ?
__label__2 , Is cussing appropriate ?
__label__2 , What is the difference between thermo plastics and thermo set plastics ?
__label__1 , Who was times magazine person of the year in 1991 ?
__label__2 , Is codeine oxycodone ?
__label__1 , Comodo dragons are known as gila monsters ?
__label__2 , Where can you get a fishing pole on petpet park ?
__label__2 , How much money a year do historians make ?
__label__2 , Why should you learn your own history ?
__label__2 , What are the the jewish rituals ?
__label__1 , How many calories in a mudium size apple ?
__label__1 , What were the following geography theme ?
__label__2 , What kind of housing is in china ?
__label__2 , Which aspect of a society would anthropologists study in depth ?
__label__2 , The result of multiplication is called the what ?
__label__2 , What is the primary purpose of RNA ?
__label__1 , What is the dofference between anerobic and aerobic respiration ?
__label__2 , What is the perceptual region of wyoming ?
__label__2 , Who were the americans allies in the vietnam war ?
__label__2 , How did gandhi respond to inequality ?
__label__1 , National service traning program in phil ?
__label__1 , What is wyoming 's state borders ?
__label__1 , You want to no about child support ?
__label__1 , What sis scarlet fever ?
__label__2 , Can a cold virus be transmitted through sex ?
__label__2 , What is north dakotas state bird and flower ?
__label__2 , What special foods come from Ireland ?
__label__2 , Where did Seurat work ?
__label__2 , What are the postcodes of japan ?
__label__1 , How many miles between North Korea and Alaska ?
__label__2 , What purpose does a kangaroos tail serve ?
__label__2 , How many people speak Spanish in Orlando Florida ?
__label__2 , Where can Eukaryote type cells can be found ?
__label__2 , Is kanine sharpening ok for your teeth ?
__label__1 , Ban the psi on my pool pump be too high ?
__label__1 , Stores waste and have to use the bathroom ?
__label__2 , How do you remove the front speakers on a 1992 jeep wrangler ?
__label__2 , How many stairs lead to the top in the eiffel tower ?
__label__2 , Who is the guy madonna is dating ?
__label__2 , What condition is Cephalexin 500mg used to treat ?
__label__1 , What is john steinbeck mother name is ?
__label__2 , What challenges did simon fraser face ?
__label__2 , What kind of animals are in the alps ?
__label__1 , The leaders of Colony of Rhode Island and Providence Plantations were ?
__label__2 , What is the the age limit to have sex ?
__label__2 , What is the order for a garden millipede ?
__label__1 , Are there any songs or dances that are spaecific to Italy ?
__label__2 , 100 yen to us dollars ?
__label__1 , Genes are what bfor your bodies ?
__label__1 , What are the two peninsulas inalaska ?
__label__1 , Where can you download grand terft auto 4 ?
__label__2 , What did marco accomplish ?
__label__1 , What is the most poisonous sp ?
__label__1 , How do you create a camper total drama island ?
__label__2 , Who did he date secretly ?
__label__1 , How much money does a kindergarten teacher make an hourh ?
__label__1 , What are the lowest temperatures of connecticut ?
__label__1 , The date of babe ruth death ?
__label__2 , What is alyson stoner favorite animal ?
__label__2 , What kind of sports do people play in Scotland ?
__label__2 , Can Carbonated Drinks make you sick ?
__label__2 , How much is a seat belt ticket in castro valley ?
__label__2 , What are examples of fat and sugar ?
__label__1 , A new computer technology ?
__label__2 , What was the earliest human society ?
__label__2 , The two types of bonds are ?
__label__2 , Where is the fuel filter located on 2000 gmc jimmy envoy ?
__label__1 , What is the earths composition of the atomosphere ?
__label__2 , What is the scope of inferential statistics in management ?
__label__1 , Do hoopoe fly ?
__label__2 , When is rose day ?
__label__1 , What is joe jonas 's favrite animal ?
__label__1 , North america countries and their currency ?
__label__1 , What is the password of robina ?
__label__2 , Can a v4 tamagotchi mate without a mate ?
__label__2 , How do you find a solar ribbon in blue mystery dungeon ?
__label__1 , Is a bowl a good anolgy for cell membrane ?
__label__2 , How do you check the fuel pressure in a 1999 suburban ?
__label__2 , The types of minerals that form in an area depends on what ?
__label__2 , What natural resources are in the coastal plain ?
__label__1 , Where was Kaiserberg Castle located ?
__label__1 , You want to become a wrestler but how ?
__label__1 , Whhat deos the name robert mean ?
__label__2 , How much is your 1972 half dollar worth ?
__label__2 , How exactly do you make pickles ?
__label__2 , How many months does a hockey season last for ?
__label__2 , How much does it cost to put up 1 wind fan ?
__label__1 , Poptropica how do you get pass the robots ?
__label__1 , How much a yard of concrete per square foot ?
__label__2 , Who was in the balkan diplomacy ?
__label__1 , Where el nino where it occurs ?
__label__2 , What is willow smith 's favorite name ?
__label__2 , Can baby birds eat plants ?
__label__2 , What did leif eat ?
__label__2 , What is the most popular football pc game ?
__label__2 , How many calories in a small plain chicken salad ?
__label__2 , What percentage of people watch football in canada ?
__label__2 , Can nuclear fusion be controlled in a laboratory ?
__label__2 , How many pounds are in 1 pint ?
__label__1 , What is the size of shaq shoe ?
__label__1 , President established the federal reserve ?
__label__2 , What is the other 20 percent of softwood ?
__label__2 , What was the name of Canada Prime Minister in the year 1878 ?
__label__2 , What is the distence from argentina to london ?
__label__2 , What was the first battle ever fought ?
__label__1 , What do leppercons eat ?
__label__1 , Advantages and disadvatages of a mixed economy ?
__label__1 , Scandinavia is part of this continent ?
__label__1 , How can you prevent these computer crimes ?
__label__1 , How change windscreen wiper front 107 ?
__label__1 , Why was the terracotta soldiers so important ?
__label__2 , How big is the caribbean compared to great britain ?
__label__2 , What countries are practicing gender inequality ?
__label__2 , Things at a picnic that start with e ?
__label__1 , How did hudene die ?
__label__2 , How many bones does a hamster have in its body ?
__label__2 , Can bleach kill sperm cells ?
__label__2 , What kind of amimal has a three chamberd heart ?
__label__1 , What is requirements for bank teller educational ?
__label__1 , Coldest citu in US ?
__label__2 , How many electrons go in the shell of rubidium ?
__label__2 , What are the two major categories of ocean currents ?
__label__1 , How many billboard awards did jackson win for thriller ?
__label__1 , What is the longuest river in scotland ?
__label__2 , Where is the fuel pump relay located on a 1999 Bravada ?
__label__1 , Who invented ice-cream was he a man lady or a child ?
__label__2 , What are the defferent types of handwriting ?
__label__1 , What is government type of Lithuania ?
__label__1 , What is trial in statistics ?
__label__1 , Leadership in the upper house responsible for passesge of the majority partys programs ?
__label__1 , A small bag of cocaine weighs how many grams ?
__label__1 , Where was the nato signed ?
__label__2 , What do brown catipillars eat ?
__label__1 , Rocky mountains average elevation in colorado ?
__label__1 , A describshion of a wattle tree ?
__label__1 , May you know the atomic radius of Francium super computer ?
__label__2 , How much gravity does an asteroid have ?
__label__1 , Who give free kittens away ?
__label__1 , REY Mysterios children ?
__label__2 , What is part time hours in missouri ?
__label__2 , How many calories is one serving of doritos ?
__label__2 , Where does megan holder live ?
__label__1 , Which are some infamous camps and why in the holocaust ?
__label__2 , What songs did avril lavigne make ?
__label__1 , What is kakas last name ?
__label__2 , How many keys on keyboards ?
__label__1 , How many dirtrict in punjab ?
__label__2 , How did robin become robin hood ?
__label__1 , How did chinas politics influence japans ?
__label__2 , How many cups equals 29 pints ?
__label__2 , How do you clean the MAF on a 1994 4 runner ?
__label__2 , How many songs did sinatra compose ?
__label__2 , What is the phone number of the Microsoft Headquarters and where is it located ?
__label__1 , What is the tubre ligation ?
__label__1 , What continent is indonesia ini ?
__label__1 , Are jonas triplets ?
__label__2 , What part of the brain directs the movement of your hands ?
__label__2 , What religion is largely practiced in Latin America ?
__label__2 , How much does an md radiologist make ?
__label__1 , Where is the word Source come from ?
__label__2 , When did alex binder have a baby ?
__label__2 , How much is a 1953-b 2 dollar bill worth ?
__label__2 , Where did Magellan come from ?
__label__2 , How do you beat skulldergerry island on poptropica ?
__label__2 , What are some germs inside your nails ?
__label__2 , How do you count to a hundred in spanish ?
__label__2 , What are the three bigest cities in oklahoma ?
__label__1 , The shortest bone in the human body ?
__label__2 , How many carbs are there in a glass of red wine ?
__label__1 , How contact shaquille oneal ?
__label__2 , What is surface tension and explain why it is different from the tension below the surface ?
__label__2 , Where are all of the biomes located ?
__label__2 , Where is the fuse for the service engine light on a 1999 buick regal ls ?
__label__2 , Who were michael jacksons inspirations ?
__label__1 , Where ATP is stored in the body ?
__label__2 , What are two parts of the structure of a virus ?
__label__2 , What sports do they do in Austrailia ?
__label__1 , Whats the population of England in 2004 ?
__label__1 , What is quarter of a metre ?
__label__1 , Orgin of St Nicholas ?
__label__1 , What did ghandi di ?
__label__1 , What were the customs of iron age burials - tollund man ?
__label__2 , How do you make orange gunck on webkinz ?
__label__1 , What is difference between speedand velocity ?
__label__1 , Who wear bras ?
__label__1 , What are thing that the telegraph did ?
__label__2 , How can you open regices tomb ?
__label__1 , How do you catch missingno diamond ?
__label__2 , What restaurants begin with the letter g ?
__label__1 , When will transformers2 ?
__label__2 , What are Dixie paper plates made of ?
__label__1 , What is mouth was agape means ?
__label__2 , Where did claude monet die and how ?
__label__2 , What causes a tooth abscess ?
__label__1 , What is contemporary describe where when and why it originated name some famous contemporart artists ?
__label__2 , Where do you find the nail bed ?
__label__1 , How many fluid ounzes are equal to one pint ?
__label__2 , Where does worcester ma fall as far as the hilliest city in america ?
__label__1 , What is the native animal for spain ?
__label__1 , What is formula for nitric acid ?
__label__1 , While citeing a source does the period come before the cite or after ?
__label__1 , What is conductor in circuits ?
__label__2 , What is active tubular reabsorbtion ?
__label__2 , How much does an anesthesiology make annually ?
__label__1 , Modes of transportation in US ?
__label__2 , Are you not David Bowie ?
__label__1 , How much do electricians get payd per year ?
__label__2 , What colur eyes does rihanna have ?
__label__1 , National rail museum is in london ?
__label__2 , In what atomic orbital is the unpaired electron of a fluorine atom ?
__label__2 , How did Christianity start in Jerusalem ?
__label__1 , How many elements of gases in the periodic table ?
__label__1 , What is sean P Diddy comes net worth ?
__label__1 , Name of the tail bone ?
__label__2 , How many miles is 3736 nautical miles ?
__label__2 , What is the tribal symbol for power ?
__label__2 , How did they trade silk ?
__label__1 , What made william morris ?
__label__1 , The units used to mrsdure the mass of the body are ?
__label__1 , Has nuclear weapons been banned ?
__label__1 , What are the regions of North Centrel plains ?
__label__2 , How many joules does a gram of protein have ?
__label__1 , Are all proteins are polar ?
__label__2 , The zone of rubble found along a fault is known as ?
__label__2 , What quantity does a scalar have ?
__label__2 , What can be used to amplify sound in air ?
__label__1 , Advantages to living capitalist society ?
__label__1 , Simba means what is swahili ?
__label__1 , What language do gthey speak in Ireland ?
__label__2 , How do you average rate of growth ?
__label__2 , Does lance bass have a new boyfriend ?
__label__2 , When was Polymer Energy invented ?
__label__2 , How could you use vagrant in a sentence ?
__label__2 , Where are frogs most common ?
__label__1 , Where does demie lovato live ?
__label__1 , What is the history and langues of the people in china ?
__label__1 , What letter is vegetable ?
__label__1 , What are jellyfish are they cold blooded ?
__label__1 , Remove head from 94 toyota corolla ?
__label__1 , What is insurable risks ?
__label__1 , You have cronic osteomyelitis in your right fumier from last two years is it treatment in homeopathy ?
__label__2 , What type of political environment does Monaco have ?
__label__1 , Where were the history olympics ?
__label__2 , How much does a laser eye surgery cost ?
__label__2 , What part of dna has a charge ?
__label__1 , Merit list of MP pet 2008 ?
__label__1 , When was the consitution ?
__label__2 , What is dyad in biology ?
__label__2 , What is plain view for policing ?
__label__1 , Fear of swolloing air ?
__label__1 , The alkali metals are the most reactive metals and their atoms have one electron in their outer level ?
__label__2 , What percent of coca cola is acid ?
__label__1 , When did charrles dickens die ?
__label__2 , About how much do chihuahuas eat each day ?
__label__2 , What tattoo symbolizes eternal love ?
__label__1 , What is the regular size of basketball ring ?
__label__2 , How do you remove grease from cabinets ?
__label__2 , How do you get sky cigar ?
__label__2 , When is it good for a company to repurchase its stock ?
__label__1 , How much diesal fuel can a semi truck hold ?
__label__1 , 3.5 oz to cup ?
__label__2 , What country do Green Beans grow in ?
__label__1 , Where do badgers find thheir food ?
__label__1 , Resturaunts that begin with the letter V ?
__label__2 , What is the difference between asp and php ?
__label__2 , Do great blue herons eat snails ?
__label__1 , When will the senators of oregon term end ?
__label__2 , What is the predator of a horned lizard ?
__label__2 , Where is the oil plug for a 2004 chevrolet tahoe z71 ?
__label__2 , How many inches is 250 pages ?
__label__2 , What do Jewish people wear in the synagoge ?
__label__2 , How big is earth compared to the others ?
__label__2 , What is the relationship between land elevation and wind velocity ?
__label__1 , Where did poinsetia plant originate from ?
__label__1 , What is the symbol for specific volume in thermodynamicsd ?
__label__1 , New and latest psp in pakistan prices ?
__label__2 , Where did downhill skiing come from ?
__label__2 , What is the value of a us 1861 nickel ?
__label__2 , How much does a carpool lane ticket cost ?
__label__1 , Where do bishops live in ?
__label__1 , Tumor of the liver is called ?
__label__1 , May you have a map of rhode islands natural resources ?
__label__2 , How much do theme park tickets cost ?
__label__1 , Where plateaus are in the western cordillera ?
__label__2 , When did lady gaga become famous and for what ?
__label__2 , What is the indian price of Platinum per gram ?
__label__1 , Where are freshwater located at ?
__label__2 , Where did ferdinand magellen explore ?
__label__2 , The human eye focuses by doing what ?
__label__1 , Why is granite good for ?
__label__2 , How many tons of gravel does a truck hold ?
__label__2 , What is infectious disease ?
__label__2 , What is the pural for superhero ?
__label__1 , How many teeths mosquitoes have ?
__label__2 , Are jobs in the illustration business increasing or decreasing ?
__label__2 , What are the two main functions of the lymphatic sysetm ?
__label__1 , What cause a glacier to slide ?
__label__2 , Are physical properties the same as characteristic properties ?
__label__1 , A pregnant goldfish is called a ?
__label__1 , All 4 general properties of matter ?
__label__2 , What is the name of the present Monaco Prince ?
__label__1 , How far is Nigeria Lagos to Ghana ?
__label__1 , What level does nidorina and nidorino evolve in pokemon diamond ?
__label__2 , How many questions are there in the impossible quiz on dlooper ?
__label__1 , Another name for culminative frequency polygon ?
__label__2 , Why was David a nude sculpture ?
__label__1 , Where di avi go to school to ?
__label__2 , How can you determine the sex of your rabbit ?
__label__1 , What is the value of 1895 Quarter ?
__label__1 , Political aspect of apj abdul kalam ?
__label__1 , What are the triditions in Palau ?
__label__2 , What snake has the most poison ?
__label__2 , What date did hurricane wilma hit ?
__label__2 , What are the types of music of india ?
__label__1 , Is there any requirements to be a race car driver ?
__label__1 , Word that end in t ?
__label__1 , Combined weight of boat and trailer ?
__label__1 , Purpose of Photography ?
__label__1 , The main religion of thailand ?
__label__1 , How many states in ohio ?
__label__1 , What is the insights of nstp interview ?
__label__2 , How many calories are in a squirt of tomatoe sauce ?
__label__2 , How much is the new dsi in america ?
__label__1 , Circumflex artery function ?
__label__1 , Tears of chimchar ?
__label__1 , What is lil waynes biological father name ?
__label__2 , What year did the slinky come out for people to buy ?
__label__1 , How did the boer war the end ?
__label__1 , How many cups in pound of cooked hamburger ?
__label__2 , Where is the PCV valve located on a 1995 pontiac trans sport 3.8 l engine ?
__label__2 , How much does a multi sports university cost ?
__label__2 , What college did Emmitt Smith attend ?
__label__1 , No insurance how much abortion costs ?
__label__1 , What do histoned do ?
__label__1 , Where do Whooping cranes migrate from state to state ?
__label__2 , How do you defeat cryptids island on poptropicsa ?
__label__1 , He main purpose of the United Nations is to ?
__label__2 , How do you make peanut-butter ?
__label__1 , Who discover man diesel ?
__label__1 , The functions of an administrative manager ?
__label__2 , Where can you find dutch ?
__label__1 , Thebes is about to be destroyed by a plague ?
__label__1 , How do you catch bream wa ?
__label__2 , What is the population of Haiti for the past fifty years ?
__label__1 , Find some examples of nazi propaganda ?
__label__2 , How much does a box jellyfish weight ?
__label__1 , What is the size of the liver on man ?
__label__2 , How many hours to fly from Miami to London ?
__label__1 , The nature of economics ?
__label__2 , What is the weight of a whale shark ?
__label__2 , Are there any virtual free games ?
__label__1 , Ronald reagans buget plans in the 1980 called for large increases ?
__label__2 , What is the purpose of a diuretic ?
__label__2 , Are dogs allowed to eat choclate ?
__label__2 , Are leopards related to cheetahs ?
__label__2 , What is the statue of limitations for felony sex crimes in Ohio ?
__label__1 , Antifreeze leak on a 96 nissan altima ?
__label__1 , What is the legal age a child can be left home alone in SoFlorida ?
__label__1 , Synovial fluid plasma vs extracellular fluid ?
__label__1 , What date do islams celebrate Eid ?
__label__1 , Write a short note on ROM ?
__label__2 , What region is lafourche Parish located in ?
__label__1 , Where is alternator on 2000 toyota celica ?
__label__1 , How can break power password on laptop ?
__label__1 , Albert einstein was a scientist famous for his work on where was he born ?
__label__2 , What are king cobras ?
__label__1 , What is the holy city for the muslums ?
__label__1 , How do you build confidence in your self ?
__label__2 , What is sandstones texture level ?
__label__1 , How many species of tigers are ther ?
__label__2 , Where can you watch old programs ?
__label__1 , How much would pastry chefs get payed a year ?
__label__1 , How do you use copper in are evey day lifes ?
__label__2 , How many cc in one litre ?
__label__1 , Altitude of taiga biome in kilometers ?
__label__2 , What is the principle of cross cutting ?
__label__2 , How do you explain cupid to a child ?
__label__2 , Where was portugal born ?
__label__1 , How high ie mount everest ?
__label__1 , How many people line in tokyo ?
__label__2 , When did micky mouse first appear on screen ?
__label__2 , When was slinky created ?
__label__1 , The Edict of Nantes was issued in effort to ?
__label__2 , How hot do shetland islands get ?
__label__1 , How many bones in a tigers body ?
__label__2 , Where did Geoffry Chaucer live ?
__label__2 , 3 NaCl is what type of solution ?
__label__1 , Function test of liver ?
__label__2 , What are the spoken languages in Indonesia ?
__label__1 , Blood borne pathogen occupational safety and health ?
__label__1 , Why was nelson mandela improtant ?
__label__2 , How do you change a 2003 Buick Rendezvous battery ?
__label__1 , What is maria caused by ?
__label__1 , The mount where jesus arrest took place ?
__label__1 , What is does Canadian bacon means ?
__label__1 , What did boxing day get its name ?
__label__2 , Where can goose grass be found ?
__label__2 , Who invented the first hand held camera and in what year ?
__label__1 , How many people were killed in madrid bombing ?
__label__1 , What color hair did henry ford 's hair ?
__label__2 , What event caused the revolution in 1800 ?
__label__2 , How much is a field goal worth in the nfl ?
__label__1 , What is full form of metric tonn ?
__label__1 , 1891 penny value ?
__label__2 , Does sugar affect the body ?
__label__2 , What are the two agents of soil erosion ?
__label__1 , What happends when you rings are bad ?
__label__2 , How much is a 1915 buffalo nickel worth ?
__label__1 , What are some differet type of salts that serve as an electrolights and are used in eletroplating ?
__label__1 , Why muslim not drink wine ?
__label__1 , Where are convection currents in atmosphere ?
__label__2 , What is the other term for the red blood cells ?
__label__1 , Taxation as the power of the state ?
__label__2 , What is polands form of religion ?
__label__1 , Points of interest of north dakota ?
__label__1 , What are canad 's five major exports ?
__label__1 , How may kids did warren harding have ?
__label__2 , What was the market place in ancient Rome ?
__label__1 , How do you remove ignition switch fro a toyota carola ?
__label__2 , Which description best fits the climate of Indonesia ?
__label__2 , How many different types of toucans are there in the world ?
__label__1 , What college did Aaron Roger ?
__label__2 , What clothes were worn in 17th century ?
__label__2 , How do you apply for albertsons online ?
__label__2 , Which of the following is a threat to external validity ?
__label__1 , What is rome longitude ?
__label__2 , What colors absorb light ?
__label__2 , What clues does this experiment give you about the motion of particles in the water ?
__label__1 , What is colorado histoical events ?
__label__2 , How do you say youre beautiful in portuguese ?
__label__2 , What class of mineral is ruby ?
__label__2 , How much wine can be produced from an acre of grapes ?
__label__1 , What is an external factors in stratergic management ?
__label__2 , What is intraday ?
__label__1 , Roxie with a v on ons side and 4612 ?
__label__2 , What is 1902 v-nickel worth ?
__label__2 , What is alexandra burke 's nick name ?
__label__2 , What instrument has a single reed to the mouthpiece ?
__label__1 , Are there 1000 g bakugans ?
__label__1 , What prison in charles manson in ?
__label__2 , What are some adaptations of the small intestine ?
__label__1 , How much does a computer technition pay ?
__label__2 , How is meosis similiar to mitosis ?
__label__2 , Where to buy a Action replay in UAE ?
__label__2 , When was bessie coleman born ?
__label__1 , What is elliptical galaxy made of ?
__label__2 , What do the roots do in the process of photosynthesis ?
__label__1 , What is colorados tree ?
__label__1 , A jar of honey in 2005 ?
__label__2 , How much money is magic johnson is worth ?
__label__1 , Approximately how much bicycles are in the world ?
__label__1 , You want to learn about Queen Hatshepsut ?
__label__1 , 4 hokage is the teacher of kakashi ?
__label__1 , Where are indonesias main industries ?
__label__2 , How is the social contract still in America today ?
__label__1 , What are the primary function of measuring electronic instruments ?
__label__2 , How many black people die from gang shootings ?
__label__1 , Ingredients in a scotish pie ?
__label__1 , What is the size of beach volleyball field ?
__label__1 , Why does antibiotics not help trest the west nile virus ?
__label__2 , What is gianna michaels net worth ?
__label__2 , What experiences do you have to have to become a pediatrician ?
__label__2 , What is needed to calcultate the atomic mass of an element ?
__label__2 , What is the size of an adult kiwi bird ?
__label__2 , Which population of insect makes up the largest portion on the insect population ?
__label__2 , What are the torque specs for 700r4 tail shaft bolts ?
__label__2 , How many centimeters is 24 inches ?
__label__2 , Where do you go to rename pokemon in pokemon emerald ?
__label__1 , What plants live in the corl reef ?
__label__1 , Where is the cranshaft position sensor on a nissan altima 2005 4cylender ?
__label__2 , Who was alfred and why was he important ?
__label__1 , Process of making free cash flow ?
__label__1 , What is edwin hubble 's accomplishments ?
__label__1 , What is the 4 digit code on the radio on a 2003 ?
__label__1 , Salary emergency room doctor ?
__label__2 , Do fish produce asexually ?
__label__1 , What qualification needed to become a fitness instructor ?
__label__2 , Can you conquer a lord with one city in evony ?
__label__2 , What are the three main group of plants ?
__label__1 , How can you beat big nate islan in poiptropica ?
__label__2 , What is plastic ball made out of ?
__label__2 , What is the national sport of the states ?
__label__2 , What is the value of a 2006 fifty pence silver coin ?
__label__1 , Sodium in 1 teaspoon of salt ?
__label__1 , Are plants are multicellular or unicellular ?
__label__1 , What is the penlaty for forgery in texas ?
__label__1 , What will prevent iron rusting ?
__label__2 , How can you control structure manipulation using pointers ?
__label__2 , How far is Santa Barbara California to Los Angeles ?
__label__1 , Where is the blanket on great pumpkin ?
__label__2 , How do you use critique in a sentence ?
__label__2 , What is the warmest capital city ?
__label__2 , What is the drug Reminyl used to treat for ?
__label__2 , What is absorbed in the large intestine before waste is eliminated ?
__label__2 , What are the main religions in morocco ?
__label__2 , What is an example of the grass fight ?
__label__1 , What is merylyn monroe 's real name ?
__label__2 , What did oprah winfrey study in college ?
__label__1 , The basic determination of skin color is the quantity of ?
__label__2 , What is net force and motion ?
__label__1 , Where are fossil fuels from dead oraganisms found ?
__label__1 , How can you relate yourself to the economics concept that Mr Adam Smith was embracing during his time compared to your present timed ?
__label__1 , Where did calypso origin ?
__label__2 , How do you draw a gladiator ?
__label__2 , What is miley cyrus 's favourtie color ?
__label__1 , What was the major concessions to anti-federalism in the constitution ?
__label__1 , What is reproductive of clone ?
__label__2 , How do you measure 5 tablespoons ?
__label__2 , What is lil wayin 's real name ?
__label__1 , Bleach brown skin spots ?
__label__1 , What is the proper age for mastrubation ?
__label__1 , What is lovato heritage ?
__label__1 , How does the circulatory system mork with the immune system ?
__label__1 , What Lv is does dratini evolve ?
__label__2 , What happened during the year 2007 ?
__label__1 , 93 ford probe fuel filter ?
__label__1 , Name the countries that speak mandarin ?
__label__1 , Are there alians in area 51 ?
__label__2 , What region is Minden Louisiana in ?
__label__1 , How do you change air filter in 2004 sienna ?
__label__1 , Schools of meteorology ?
__label__2 , How many kinds of voting ballots are there ?
__label__1 , Position of the tympanic membrane ?
__label__2 , Is there a website to identify birds of pennsylvania ?
__label__1 , Stupid quotes about women in education ?
__label__1 , How many reps dose each state get ?
__label__1 , Names hindus call god ?
__label__2 , How do you say my lover in russian ?
__label__1 , What are the effects of one time users of Anabolic Steroid ?
__label__1 , Things that live in a garden that start with a e ?
__label__1 , What do cherrys grow on ?
__label__1 , How many people in new york city ?
__label__1 , What level dose piggeoto evolve ?
__label__1 , Where mites exist ?
__label__1 , Who ias isabelo concepcion ?
__label__2 , How do you install an amp on a car ?
__label__1 , What are canada 's activities contribute ?
__label__1 , What collage did paul bear bryant go to ?
__label__2 , What did antoine lavoisier do that is related to chemistry ?
__label__2 , What is the tempature in a tropical ocean ?
__label__2 , Where does gary paulden live ?
__label__1 , Famous quotes said by people in the state of vermont ?
__label__1 , How many cups ina pt ?
__label__2 , What is the use of a wattle on a turkey ?
__label__1 , How many officials are needed for a volleyball match and name them ?
__label__2 , What are the lyrics to the star-spangled banner ?
__label__1 , How much does volleyball baseball ect get paid ?
__label__2 , What is fiber aid ?
